iter	Passed	Remaining
0	156	156162
1	158	78928
2	160	53284
3	162	40428
4	164	32674
5	166	27546
6	169	24028
7	171	21282
8	173	19104
9	175	17386
10	177	15979
11	179	14786
12	181	13771
13	182	12886
14	184	12140
15	186	11482
16	188	10887
17	189	10349
18	191	9882
19	192	9436
20	194	9063
21	195	8697
22	196	8336
23	197	8039
24	199	7767
25	200	7495
26	201	7252
27	201	7010
28	203	6799
29	203	6592
30	204	6404
31	205	6220
32	206	6053
33	207	5896
34	208	5751
35	209	5620
36	210	5482
37	211	5354
38	212	5231
39	213	5117
40	213	5002
41	214	4893
42	214	4782
43	215	4685
44	216	4589
45	216	4493
46	217	4407
47	218	4323
48	218	4243
49	219	4166
50	219	4093
51	220	4019
52	221	3950
53	221	3884
54	222	3824
55	223	3765
56	224	3710
57	224	3653
58	225	3596
59	226	3541
60	226	3488
61	227	3438
62	227	3388
63	228	3340
64	229	3295
65	229	3250
66	230	3207
67	230	3164
68	231	3123
69	232	3082
70	232	3043
71	233	3006
72	233	2968
73	234	2933
74	235	2899
75	235	2865
76	236	2832
77	236	2800
78	237	2768
79	238	2737
80	238	2706
81	239	2678
82	239	2649
83	240	2621
84	240	2593
85	241	2567
86	242	2541
87	242	2516
88	243	2493
89	244	2469
90	244	2445
91	245	2421
92	245	2398
93	246	2375
94	247	2353
95	247	2332
96	248	2309
97	248	2289
98	249	2268
99	249	2248
100	250	2226
101	250	2207
102	251	2187
103	251	2169
104	252	2152
105	253	2134
106	253	2116
107	254	2099
108	254	2082
109	255	2065
110	255	2049
111	256	2033
112	256	2014
113	257	1999
114	257	1984
115	258	1969
116	258	1954
117	259	1939
118	260	1926
119	260	1912
120	261	1897
121	261	1882
122	262	1868
123	262	1856
124	263	1843
125	263	1830
126	264	1818
127	264	1804
128	265	1792
129	266	1781
130	266	1769
131	267	1758
132	267	1746
133	268	1735
134	269	1723
135	269	1713
136	270	1702
137	270	1692
138	271	1680
139	271	1669
140	272	1659
141	273	1650
142	273	1640
143	274	1630
144	274	1621
145	275	1611
146	276	1601
147	276	1592
148	277	1583
149	277	1573
150	278	1564
151	278	1555
152	279	1546
153	279	1537
154	280	1529
155	281	1522
156	281	1513
157	282	1505
158	283	1496
159	283	1488
160	284	1480
161	284	1472
162	285	1464
163	285	1457
164	286	1449
165	286	1441
166	287	1433
167	287	1426
168	288	1418
169	289	1411
170	289	1404
171	290	1397
172	290	1390
173	291	1383
174	292	1376
175	292	1369
176	293	1363
177	293	1356
178	294	1350
179	295	1344
180	296	1339
181	296	1333
182	297	1327
183	297	1320
184	298	1314
185	299	1308
186	299	1302
187	300	1296
188	300	1290
189	301	1284
190	301	1278
