iter	Passed	Remaining
0	1	1833
1	2	1312
2	3	1104
3	4	996
4	4	944
5	5	892
6	6	858
7	6	832
8	7	820
9	8	805
10	8	789
11	9	778
12	10	780
13	11	784
14	12	788
15	12	784
16	13	775
17	14	772
18	14	772
19	15	767
20	16	765
21	17	762
22	17	756
23	18	748
24	19	744
25	19	739
26	20	733
27	20	728
28	21	726
29	22	724
30	23	721
31	23	719
32	24	717
33	25	724
34	26	728
35	27	725
36	27	722
37	28	721
38	29	727
39	30	728
40	31	726
41	31	723
42	32	721
43	33	718
44	33	718
45	34	715
46	35	713
47	35	712
48	36	710
49	37	709
50	38	707
51	38	705
52	39	703
53	40	707
54	41	710
55	42	709
56	42	709
57	43	706
58	44	707
59	44	704
60	45	703
61	46	701
62	47	699
63	47	697
64	48	696
65	49	694
66	49	693
67	50	691
68	51	689
69	51	688
70	52	686
71	53	684
72	53	683
73	54	687
74	55	688
75	56	686
76	57	685
77	57	683
78	58	681
79	59	679
80	59	679
81	60	677
82	60	672
83	61	670
84	62	669
85	62	667
86	63	665
87	64	664
88	64	663
89	65	661
90	66	660
91	66	660
92	67	659
93	68	658
94	69	657
95	70	659
96	70	658
97	71	656
98	72	655
99	72	655
100	73	654
101	74	652
102	74	650
103	75	649
104	76	647
105	76	646
106	77	645
107	77	643
108	78	642
109	79	641
110	79	639
111	80	638
112	81	636
113	81	634
114	82	633
115	82	631
116	83	630
117	84	629
118	85	630
119	85	628
120	86	627
121	86	625
122	88	629
123	89	629
124	89	628
125	90	627
126	90	624
127	91	623
128	92	622
129	92	621
130	93	619
131	94	618
132	94	617
133	95	615
134	95	614
135	96	613
136	97	611
137	97	610
138	98	612
139	99	612
140	100	611
141	100	609
142	101	608
143	102	607
144	102	607
145	103	606
146	104	605
147	105	605
148	105	604
149	106	604
150	107	604
151	108	603
152	108	602
153	109	601
154	110	599
155	110	598
156	111	597
157	111	595
158	112	594
159	113	596
160	114	596
161	115	595
162	115	595
163	116	593
164	117	592
165	117	592
166	118	591
167	119	590
168	119	589
169	120	588
170	121	586
171	121	585
172	122	584
173	122	583
174	123	582
175	124	581
176	124	580
177	125	578
178	125	577
179	126	576
180	127	576
181	128	575
182	128	575
183	129	575
184	130	574
185	131	573
186	131	573
187	132	572
188	133	571
189	133	570
190	134	569
191	135	568
192	135	567
193	136	566
194	136	565
195	137	564
196	138	563
197	138	562
198	139	561
199	140	560
200	140	559
201	141	558
202	142	558
203	143	558
